,name,price,region,power,volume,transmission,wheel_drive
712,  Mitsubishi Pajero Sport 2021  ,    50 900 $    ,Вінниця ,181.0,2.4,Автомат,Повний
713,  MG 5 2021  ,    17 362 $    ,Одеса ,114.0,1.5,Варіатор,Передній
714,  Toyota Camry 2022  ,    36 203 $    ,Львів ,207.0,2.5,Автомат,Передній
715,  Fiat Doblo груз. 2021  ,    16 153 $    ,Дніпро (Дніпропетровськ) ,90.0,1.3,Механічна,Передній
716,  Volkswagen T-Roc 2021  ,    29 675 $    ,Львів ,150.0,1.5,Автомат,Передній
717,  Honda CR-V 2021  ,    42 956 $    ,Дніпро (Дніпропетровськ) ,184.0,2.0,Варіатор,Повний
718,  Mercedes-Benz GLS-Class 2021  ,    105 529 $    ,Черкаси ,330.0,,Автомат,Повний
719,  Nissan X-Trail 2021  ,    29 913 $    ,Рівне ,130.0,1.6,Варіатор,Передній
720,  FAW Bestune T77 2021  ,    25 290 $    ,Київ ,168.0,1.5,Роботизована,Передній
721,  Toyota Yaris 2021  ,    21 120 $    ,Львів ,116.0,1.5,Варіатор,Передній
722,  Nissan Juke 2021  ,    25 351 $    ,Полтава ,114.0,1.0,Роботизована,Передній
723,  Mercedes-Benz S-Class 2021  ,    156 067 $    ,Львів ,330.0,,Автомат,Повний
724,  Renault Express 2021  ,    17 649 $    ,Луцьк ,95.0,1.5,Механічна,Передній
725,  Toyota Land Cruiser 300 2021  ,    84 464 $    ,Львів ,415.0,3.5,Автомат,Повний
726,  Mitsubishi Outlander 2021  ,    23 569 $    ,Полтава ,145.0,2.0,Варіатор,Передній
727,  Renault Logan 2022  ,    13 928 $    ,Луцьк ,90.0,1.5,Механічна,Передній
728,  Toyota Yaris Cross 2021  ,    23 162 $    ,Львів ,125.0,1.5,Варіатор,Передній
729,  Nissan Juke 2022  ,    20 855 $    ,Рівне ,114.0,1.0,Роботизована,Передній
730,  Skoda Superb 2022  ,    41 516 $    ,Одеса ,190.0,2.0,Роботизована,Передній
731,  Honda CR-V 2021  ,    44 503 $    ,Дніпро (Дніпропетровськ) ,184.0,2.0,Варіатор,Повний
732,  Mercedes-Benz GLE-Class 2021  ,    100 049 $    ,Львів ,272.0,,Автомат,Повний
733,  Peugeot Rifter 2020  ,    30 795 $    ,Івано-Франківськ ,130.0,1.5,Автомат,Передній
734,  Volkswagen Arteon 2021  ,    55 500 $    ,Чернівці ,200.0,2.0,Автомат,Повний
735,  Baw Warrior 2043 2021  ,    28 000 $    ,Київ ,140.0,2.4,Механічна,Повний
736,  Nissan Qashqai 2021  ,    33 443 $    ,Київ ,150.0,1.3,Варіатор,Передній
737,  Mitsubishi ASX 2021  ,    25 193 $    ,Київ ,150.0,2.0,Варіатор,Повний
738,  Nissan X-Trail 2021  ,    27 809 $    ,Київ ,144.0,2.0,Варіатор,Передній
739,  BAIC X3 2021  ,    14 900 $    ,Київ ,116.0,1.5,Механічна,Передній
740,  Ford Kuga 2021  ,    32 784 $    ,Одеса ,182.0,1.5,Автомат,Передній
741,  Hyundai Ioniq 2021  ,    30 947 $    ,Вінниця ,136.0,38.3,Варіатор,Передній
742,  Hyundai Tucson 2022  ,    38 168 $    ,Вінниця ,136.0,1.6,Роботизована,Повний
743,  Renault Megane 2021  ,    18 261 $    ,Луцьк ,115.0,1.6,Варіатор,Передній
744,  Hyundai Kona 2021  ,    30 455 $    ,Вінниця ,198.0,1.6,Автомат,Передній
745,  MG ZS EV 2021  ,    38 057 $    ,Одеса ,143.0,44.5,Варіатор,Передній
746,  Nissan Leaf 2021  ,    30 979 $    ,Рівне ,150.0,,,Передній
747,  Mazda CX-5 2021  ,    29 600 $    ,Полтава ,150.0,2.0,Автомат,Передній
748,  Nissan Juke 2021  ,    23 553 $    ,Вінниця ,114.0,1.0,Роботизована,Передній
749,  Volkswagen T-Roc 2021  ,    25 795 $    ,Львів ,150.0,1.5,Автомат,Передній
750,  Hyundai Palisade 2021  ,    67 979 $    ,Одеса ,200.0,2.2,Автомат,Повний
751,  Fiat Doblo груз. 2021  ,    14 141 $    ,Дніпро (Дніпропетровськ) ,95.0,1.4,Механічна,Передній
752,  Toyota Yaris Cross 2022  ,    28 385 $    ,Львів ,116.0,1.5,Варіатор,Передній
753,  Nissan X-Trail 2021  ,    26 966 $    ,Київ ,130.0,1.6,Варіатор,Передній
754,  Renault Lodgy 2021  ,    16 868 $    ,Луцьк ,90.0,1.5,Механічна,Передній
755,  Volkswagen Tiguan 2022  ,    41 475 $    ,Львів ,220.0,2.0,Автомат,Повний
756,  Mercedes-Benz GLE-Class 2021  ,    87 024 $    ,Львів ,245.0,,Автомат,Повний
757,  Opel Mokka 2021  ,    24 959 $    ,Івано-Франківськ ,130.0,1.2,Автомат,Передній
758,  Hyundai Palisade 2021  ,    66 716 $    ,Рівне ,200.0,2.2,Автомат,Повний
